,name,KIC,Insolation,Period,T_eff,Radius,masse_est,semi_au,st_log_lum,Discovery,H_Tidal,H_Radio,H_Total,TSM,Contrast,Theta,KOI,Kepler-ID,TTVperiod,TTVperiod_e,Epoch,Epoch_e,RpRs,RpRs_p,RpRs_m,b,b_ep,b_em,rhostar_model,rhostar_model_ep,rhostar_model_em,u1,u2,nTTobs,nTT,TTVflag,tdepth,tdepth_e,tdur,tdur_e,tduravg,tduravg_e,radius,radius_ep,radius_em,SNR,SNRwoTTV-SNRwTTV,MES,chisqwttv,chisqwottv,dchisq_inj,adrs,adrs_ep,adrs_em,incl,incl_ep,incl_em,s0,s0_ep,s0_em,kepmag,stellar_source,rhostar,rhostar_ep,rhostar_em,teff,teff_e,rstar,rstar_ep,rstar_em,mstar,mstar_ep,mstar_em,logg,logg_ep,logg_em,[M/H],[M/H]_e,StatusFlag,rhostar_model_lc,Epoch_lc,Per_lc,b_lc,RpRs_lc,lcflag,ttvper_cor,ttvper_cor_err
10,KOI-5556.01,8656535,0.331692909,631.99116,201.2165523,1.608548708,3.217572789,1.393580006,-0.191, Kepler,248105837.5,242000000000000.0,242000000000000.0,1.895701752,5.99e-10,0.003977112,5556.01,,631.99524036,0.00677063,712.268999,0.007435,0.014802,0.001637,-0.001419,0.4492,0.2075,-0.4206,156.22447,50.12156,-130.31606,0.4346,0.2453,3,3,1,250.9,41.5,3.086115,0.322449,3.024421,0.303331,1.403,0.16,-0.137,8.2,-0.07,0.0,78.7,80.0,0.0,1527.3896,228.6882,-411.6387,89.9957,0.0043,-0.0259,0.33,0.03,-0.03,13.415,1,1.92262,0.1355,-0.18163,5540,92,0.87,0.02,-0.02,0.9,0.04,-0.06,4.514,0.024,-0.037,-0.075,0.136,PPNN,114.84335,80.273658,631.99452629,0.5082,0.014888,0,0.0,0.0
11,KOI-5810.01,10581308,0.545106481,425.593391,227.8242731,1.395905621,2.529189787,1.080834819,-0.196, Kepler,4249071.384,158000000000000.0,158000000000000.0,1.253955861,7.5e-10,0.002304552,5810.01,,425.58201362,0.0,583.915468,0.0,0.012345,0.0,-0.0,0.2142,0.0,-0.0,123.69803,0.0,-0.0,0.4827,0.2153,4,4,1,187.2,0.0,3.040458,0.0,3.001621,0.0,1.222,0.004,-0.055,4.9,-0.06,0.0,109.3,111.0,0.0,1058.0121,0.0,-0.0,89.9884,0.0,-0.0,0.54,0.0,-0.0,13.766,1,1.82495,0.12885,-0.16404,5450,95,0.89,0.02,-0.02,0.93,0.04,-0.05,4.503,0.025,-0.035,0.082,0.122,SPNN,123.69803,158.333454,425.58201362,0.2142,0.012345,1,0.0,0.0
12,KOI-5609.01,9079671,0.279400766,535.1515,192.7687161,1.48945889,2.823660179,1.208888382,-0.389, Kepler,948476316.6,192000000000000.0,192000000000000.0,2.402928896,6.83e-10,0.00475753,5609.01,,535.1454492,0.0,410.140759,0.0,0.011929,0.0,-0.0,0.1213,0.0,-0.0,244.0772,0.0,-0.0,0.4486,0.2351,3,3,0,174.3,0.0,2.656655,0.0,2.624876,0.0,1.012,0.022,-0.003,4.3,0.11,0.0,72.9,73.0,0.0,1545.9822,0.0,-0.0,89.9955,0.0,-0.0,0.28,0.0,-0.0,12.706,1,2.38149,0.15752,-0.2002,5206,85,0.78,0.01,-0.01,0.82,0.03,-0.05,4.562,0.023,-0.033,-0.105,0.115,SPNN,244.0772,410.140759,535.1454492,0.1213,0.011929,1,0.0,0.0
13,KOI-5616.01,9114614,0.151223926,441.61919,165.3426082,1.894864865,4.249288345,0.990124359,-0.829, Kepler,2511720054.0,395000000000000.0,395000000000000.0,2.215981741,1.65e-09,0.003310346,5616.01,,441.62392033,0.01520708,723.088196,0.029126,0.02432,0.005361,-0.003217,0.1975,0.5563,-0.1472,31.97686,181.37436,-30.22906,0.5708,0.1532,3,3,0,731.5,175.6,2.705928,1.034065,2.756378,0.983979,1.763,0.37,-0.247,7.2,-0.01,0.0,111.8,112.0,0.0,842.0919,541.2674,-251.3027,89.9917,0.0083,-0.0376,0.15,0.01,-0.01,14.497,1,3.28816,0.19489,-0.17769,4414,76,0.66,0.01,-0.01,0.66,0.02,-0.02,4.624,0.02,-0.018,-0.061,0.101,PPNN,38.1778,281.465475,441.62384484,0.814,0.028488,0,0.0,0.0
14,KOI-5755.01,10007916,0.458060463,388.67155,218.1274683,1.503236041,2.868146454,0.980705467,-0.356, Kepler,546049253.2,197000000000000.0,197000000000000.0,1.023356287,1.06e-09,0.001488172,5755.01,,388.75548787,0.0,532.619429,0.0,0.015777,0.0,-0.0,0.1669,0.0,-0.0,0.9694,0.0,-0.0,0.4716,0.2202,4,4,0,306.7,0.0,15.040499,0.0,14.800302,0.0,1.422,0.015,-0.04,8.4,-0.13,0.0,454.8,457.0,0.0,197.8484,0.0,-0.0,89.9517,0.0,-0.0,0.45,0.0,-0.0,14.829,1,2.30815,0.17122,-0.21186,5266,92,0.8,0.02,-0.02,0.83,0.04,-0.05,4.556,0.024,-0.037,-0.11,0.134,PPNN,0.9694,143.863941,388.75548787,0.1669,0.015777,1,0.0,0.0
15,KOI-5506.01,8352009,0.82217649,641.60204,252.4764763,1.992589719,4.628021744,1.556028234,0.299, Kepler,82174128.93,459000000000000.0,459000000000000.0,0.796798268,7.38e-10,0.001526266,5506.01,,641.48436782,0.07104344,745.287215,0.121572,0.012431,0.001313,-0.000963,0.2457,0.4247,-0.2069,0.23979,0.09342,-0.21019,0.3698,0.2844,3,3,1,176.1,24.3,26.318883,2.374113,25.931883,2.296084,1.73,0.187,-0.147,8.9,-0.06,0.0,383.1,384.0,0.0,176.704,28.9184,-44.9842,89.9576,0.0424,-0.2333,0.82,0.07,-0.07,14.152,1,0.815,0.08454,-0.07763,6066,105,1.28,0.04,-0.04,1.22,0.05,-0.06,4.309,0.032,-0.034,0.263,0.145,PPNN,0.23643,103.602555,641.60583312,0.069,0.012443,0,0.0,0.0
16,KOI-5387.01,7416016,0.225947054,297.78282,182.802162,1.352440678,2.39694146,0.759445578,-0.885, Kepler,964508275.7,144000000000000.0,144000000000000.0,1.506885904,1.43e-09,0.002694981,5387.01,,297.83417572,0.01037161,761.949741,0.047888,0.014592,0.002231,-0.001785,0.1879,0.503,-0.157,1.23677,3.65589,-1.21863,0.5841,0.1509,5,5,1,265.8,53.7,12.722504,2.176467,11.805986,2.035196,1.092,0.156,-0.156,7.0,-0.05,0.0,508.6,511.0,0.0,170.5482,39.5537,-63.2859,89.9622,0.0377,-0.2517,0.22,0.01,-0.01,14.587,1,2.85656,0.47994,-0.14908,4210,44,0.68,0.01,-0.02,0.66,0.04,-0.01,4.58,0.055,-0.014,0.28,0.119,SPNN,0.94509,166.289527,297.82668105,0.3343,0.014726,0,-7.41e-06,3.482e-05
17,KOI-5389.01,7416646,0.536407913,365.739893,226.9099033,1.581143757,3.125057354,0.968840783,-0.298, Kepler,224701398.6,230000000000000.0,230000000000000.0,2.253428415,1.2e-09,0.003137438,5389.01,,365.73244708,0.0,577.363816,0.0,0.013835,0.0,-0.0,0.8055,0.0,-0.0,13.97525,0.0,-0.0,0.4469,0.2392,3,0,0,183.3,0.0,3.721029,0.0,3.579885,0.0,1.329,0.007,-0.026,5.1,4.46,0.0,0.0,122.0,0.0,462.3203,0.0,-0.0,89.9002,0.0,-0.0,0.53,0.0,-0.0,12.962,1,1.9183,0.1458,-0.1748,5203,79,0.87,0.02,-0.01,0.91,0.04,-0.05,4.514,0.027,-0.036,0.232,0.123,SPNN,13.97525,211.631369,365.73244708,0.8055,0.013835,1,0.0,0.0
18,KOI-5643.01,9220614,0.26302878,570.01886,189.8805472,1.578987342,3.117824713,1.253136456,-0.384, Kepler,857740057.1,229000000000000.0,229000000000000.0,1.187281825,7.14e-10,0.002217548,5643.01,,570.0198183,0.01273891,308.049536,0.014626,0.017992,0.002578,-0.002578,0.1544,0.5579,-0.1143,94.22433,90.21777,-90.21777,0.4262,0.2504,3,3,0,371.4,81.6,3.20778,0.613351,3.249557,0.573876,1.526,0.196,-0.229,6.8,-0.12,0.0,91.3,93.0,0.0,1241.7314,372.1851,-394.0784,89.9947,0.0053,-0.0319,0.26,0.02,-0.02,14.441,1,2.46241,0.17834,-0.21396,5265,86,0.77,0.02,-0.02,0.81,0.03,-0.05,4.57,0.023,-0.034,-0.2,0.114,SPNN,116.40369,308.051667,570.01989514,0.1292,0.01774,0,0.0,0.0
19,KOI-5948.01,12007270,0.715158209,398.51312,243.8260981,1.398537549,2.537291366,0.998387043,-0.147, Kepler,1607070668.0,159000000000000.0,159000000000000.0,1.294437823,8.83e-10,0.001874905,5948.01,,398.5205682,0.0,496.71977,0.0,0.013645,0.0,-0.0,0.212,0.0,-0.0,18.62596,0.0,-0.0,0.4715,0.2233,3,3,1,228.5,0.0,5.601469,0.0,5.522566,0.0,1.288,0.02,-0.029,5.9,-0.01,0.0,160.9,161.0,0.0,538.7503,0.0,-0.0,89.9775,0.0,-0.0,0.71,0.0,-0.0,13.843,1,1.82038,0.19878,-0.19751,5703,108,0.86,0.02,-0.02,0.84,0.06,-0.05,4.487,0.038,-0.042,-0.398,0.14,SPNN,18.62596,98.199202,398.5205682,0.212,0.013645,1,0.0,0.0
