name,KIC,Insolation,Period,T_eff,Radius,masse_est,semi_au,st_log_lum,Discovery,H_Tidal,H_Radio,H_Total,TSM,Contrast,Theta
KOI-5556.01,8656535,0.331692909,631.99116,201.2165523,1.608548708,3.217572789,1.393580006,-0.191, Kepler,248105837.5,2.42E+14,2.42E+14,1.895701752,5.99E-10,0.003977112
KOI-5810.01,10581308,0.545106481,425.593391,227.8242731,1.395905621,2.529189787,1.080834819,-0.196, Kepler,4249071.384,1.58E+14,1.58E+14,1.253955861,7.50E-10,0.002304552
KOI-5609.01,9079671,0.279400766,535.1515,192.7687161,1.48945889,2.823660179,1.208888382,-0.389, Kepler,948476316.6,1.92E+14,1.92E+14,2.402928896,6.83E-10,0.00475753
KOI-5616.01,9114614,0.151223926,441.61919,165.3426082,1.894864865,4.249288345,0.990124359,-0.829, Kepler,2511720054,3.95E+14,3.95E+14,2.215981741,1.65E-09,0.003310346
KOI-5755.01,10007916,0.458060463,388.67155,218.1274683,1.503236041,2.868146454,0.980705467,-0.356, Kepler,546049253.2,1.97E+14,1.97E+14,1.023356287,1.06E-09,0.001488172
KOI-5506.01,8352009,0.82217649,641.60204,252.4764763,1.992589719,4.628021744,1.556028234,0.299, Kepler,82174128.93,4.59E+14,4.59E+14,0.796798268,7.38E-10,0.001526266
KOI-5387.01,7416016,0.225947054,297.78282,182.802162,1.352440678,2.39694146,0.759445578,-0.885, Kepler,964508275.7,1.44E+14,1.44E+14,1.506885904,1.43E-09,0.002694981
KOI-5389.01,7416646,0.536407913,365.739893,226.9099033,1.581143757,3.125057354,0.968840783,-0.298, Kepler,224701398.6,2.30E+14,2.30E+14,2.253428415,1.20E-09,0.003137438
KOI-5643.01,9220614,0.26302878,570.01886,189.8805472,1.578987342,3.117824713,1.253136456,-0.384, Kepler,857740057.1,2.29E+14,2.29E+14,1.187281825,7.14E-10,0.002217548
KOI-5948.01,12007270,0.715158209,398.51312,243.8260981,1.398537549,2.537291366,0.998387043,-0.147, Kepler,1607070668,1.59E+14,1.59E+14,1.294437823,8.83E-10,0.001874905
KOI-5949.01,12009917,0.694553314,559.785594,242.0505388,1.717551755,3.596450432,1.308118857,0.075, Kepler,1432962365,2.94E+14,2.94E+14,1.518448031,7.76E-10,0.002512714
